filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
output/0x01ed068115ba99b94c65c7791d4ac5dee1253835.sol,0x01ed068115ba99b94c65c7791d4ac5dee1253835.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680161093.8407114,620.8270847797394,,{},{},{},{DOCKER_TIMEOUT}
output/0x01ed784fc2dfac3d546bd70af992762dde99cbcb.sol,0x01ed784fc2dfac3d546bd70af992762dde99cbcb.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680153037.4984803,33.146979093551636,0,{},{},{},{}
output/0x01edf00a43129f09788c418a88501acd4c7e3f2b.sol,0x01edf00a43129f09788c418a88501acd4c7e3f2b.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680159964.317108,33.575803995132446,0,{},{},{},{}
output/0x01f2acf2914860331c1cb1a9acecda7475e06af8.sol,0x01f2acf2914860331c1cb1a9acecda7475e06af8.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680160841.3581803,612.5759189128876,,{},{},{},{DOCKER_TIMEOUT}
output/0x01f6462bf3fc10876e1e3b707b352545308a38a7.sol,0x01f6462bf3fc10876e1e3b707b352545308a38a7.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680155849.3428724,647.7792131900787,,{},{},{},{DOCKER_TIMEOUT}
output/0x01f673e1af7416ff3795ff62393cdf014ce050fd.sol,0x01f673e1af7416ff3795ff62393cdf014ce050fd.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680152512.8020172,524.6077928543091,1,"{Dependence_on_predictable_environment_variable_SWC_116,External_Call_To_User_Supplied_Address_SWC_107,Integer_Arithmetic_Bugs_SWC_101}",{},{},{}
output/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680161136.22818,618.7856161594391,,{},{},{},{DOCKER_TIMEOUT}
output/0x01f9ed6f62ebf73f7f5e09c1cd07f0665e68b706.sol,0x01f9ed6f62ebf73f7f5e09c1cd07f0665e68b706.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680149196.2050655,618.1458194255829,,{},{},{},{DOCKER_TIMEOUT}
output/0x01fa555c97d7958fa6f771f3bbd5ccd508f81e22.sol,0x01fa555c97d7958fa6f771f3bbd5ccd508f81e22.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680159225.8529966,631.1236863136292,,{},{},{},{DOCKER_TIMEOUT}
output/0x0313f9c5fa5338bc00e416ceae577038e5fa3e28.sol,0x0313f9c5fa5338bc00e416ceae577038e5fa3e28.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680156383.417194,622.6543538570404,,{},{},{},{DOCKER_TIMEOUT}
